trimmed-21139_25423	trimmed-A0363_27124	trimmed-A0481_19124	trimmed-A1176_17523	trimmed-A1739_10124	trimmed-A269087_24422	trimmed-A2695_28422	trimmed-A269807_25422	trimmed-A2713_2523	trimmed-A2730_1522	trimmed-A2741_2522	trimmed-A2830_18523	trimmed-A2852_19523	trimmed-A2863_171223	trimmed-A2863_231122	trimmed-A2863_4523	trimmed-A2890_171223	trimmed-A2946_261122	trimmed-A3073_21523	trimmed-A3073_5523	trimmed-A3110_141222	trimmed-A3127_171222	trimmed-A3136_171222	trimmed-A3144_6123	trimmed-A3162_6123	trimmed-A3165_7123	trimmed-A3366_28423	trimmed-A3386_2523	trimmed-A3390_30423	trimmed-A3606_18523	trimmed-A3611_4523	trimmed-A3613_4523	trimmed-A3620_5523	trimmed-A3624_5523	trimmed-A3627_6523	trimmed-A3655_17523	trimmed-A3658_17523	trimmed-A3663_17523	trimmed-A3667_18523	trimmed-A3668_18523	trimmed-A3669_19523	trimmed-A3673_19523	trimmed-A3674_19523	trimmed-A3682_21523	trimmed-A3683_23523	trimmed-A3686_21523	trimmed-A3688_21523	trimmed-A3690_21523	trimmed-A3694_22523	trimmed-A3697_22523	trimmed-A3699_22523	trimmed-A3700_22323	trimmed-A3841_22523	trimmed-A3865_23523	trimmed-A3873_161223	trimmed-A3875_161223	trimmed-A3883_181223	trimmed-A5004_121223	trimmed-A5042_21223	trimmed-A5045_21223	trimmed-A5049_21223	trimmed-A5051_21223	trimmed-A5119_20124	trimmed-A5145_181223	trimmed-A5147_181223	trimmed-A5148_181223	trimmed-A5160_7124	trimmed-A5169_7124	trimmed-A5179_7124	trimmed-A5183_7124	trimmed-A5185_7124	trimmed-A5186_7124	trimmed-A5187_7124	trimmed-A5193_7124	trimmed-A8202_8124	trimmed-A8211_14124	trimmed-A8212_14124	trimmed-A8214_14124	trimmed-A8224_19124	trimmed-A8228_15124	trimmed-A8233_16124	trimmed-A8257_19124	trimmed-A8261_20124	trimmed-A8283_22124	trimmed-A8284_22124	trimmed-A8317_1224	trimmed-A8317_25124	trimmed-A8329_26124	trimmed-AB0373_26422	trimmed-AB0410_12124	trimmed-AB0525_18523	trimmed-AB0600_27422	trimmed-AB1179_16124	trimmed-AB1348_9123	trimmed-AB1426_27423	trimmed-AB1445_5523	trimmed-AB1464_261123	trimmed-AB1465_18523	trimmed-AB1471_161223	trimmed-AB1719_161223	trimmed-AB1722_161223	trimmed-EX_CTRL1	trimmed-EX_CTRL2	trimmed-INS_CTRL	trimmed-PCR_CTRL	trimmed-Z0337_17123	trimmed-Z1683_20124	trimmed-Z2059_27124	trimmed-Z2538_17523	trimmed-Z2572_4522	trimmed-Z2581_4522	trimmed-Z2583_4522	trimmed-Z2604_5622	trimmed-Z2605_6522	trimmed-Z2612_5622	trimmed-Z3428_26422	trimmed-Z3474_28423	trimmed-Z3476_28423	trimmed-Z3503_30423	trimmed-Z3515_2523	trimmed-Z3530_4523	trimmed-Z3538_4523	trimmed-Z3541_4523	trimmed-Z3543_5523	trimmed-Z3544_5523	trimmed-Z3562_5523	trimmed-Z3570_6523	trimmed-Z3591_17523	trimmed-Z3593_17523	trimmed-Z3594_17523	trimmed-Z3595_17523	trimmed-Z3596_17523	trimmed-Z3598_17523	trimmed-Z3599_17523	trimmed-Z3632_6523	trimmed-Z3719_16123	trimmed-Z3728_17123	trimmed-Z3802_18523	trimmed-Z3803_18523	trimmed-Z3807_19523	trimmed-Z3812_19523	trimmed-Z3815_19523	trimmed-Z3818_21523	trimmed-Z3820_21523	trimmed-Z3821_21523	trimmed-Z3823_21523	trimmed-Z3827_21523	trimmed-Z3837_22523	trimmed-Z4965_301123	trimmed-Z5009_20124	trimmed-Z5015_19124	trimmed-Z5019_22124	trimmed-Z5029_23124	trimmed-Z5030_131223	trimmed-Z5086_19124	trimmed-Z5090_19124	trimmed-Z5093_19124	trimmed-Z5094_19124	trimmed-Z5096_19124	trimmed-Z5097_19124	trimmed-Z5109_19124	trimmed-Z5110_19124	trimmed-Z5116_20124	trimmed-Z5117_20124	trimmed-Z5124_21124	trimmed-Z5132_22124	trimmed-Z5139_23124	trimmed-Z5144_24124	trimmed-Z5150_24124	trimmed-Z5152_1224	trimmed-Z5157_24124	trimmed-Z5159_24124	trimmed-Z5164_25124	trimmed-Z5168_25124	trimmed-Z5174_26124	trimmed-Z5175_26124	trimmed-Z5180_27124	trimmed-Z5187_27124	trimmed-Z5193_29124	trimmed-Z5194_29124	trimmed-Z8304_31124	trimmed-Z8305_31124
ASV_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	571	785	1423	26801	15155	526	34216	0	977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	74	67	0	0	0	0	0	0	15	0	0	0	0	0	0	0	2941	0	0	0	5	0	0	0	0	2210	22	30	0	6055	0	8	0	220	47	2480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	15	72	0	0	0	0	609	0	0	0	523	0	0	0	0	0	193	0	0	0	54	378	0	0	0	0	0	56	115	0	92	0	141	11	10263	539	587	2436	0	0	0	0	0	0	3	0	468	0	23837	41	8	12	8814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	40279	0	0	0	0
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11901	42	0	0	52	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41351	0	0	0	12	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	2	0	0	0	0	0	0	0	25	0	0	0	0	22	8	0
ASV_6	0	0	0	0	0	0	0	0	0	0	0	45673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45100	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	43754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
