Samples,d13C,d15N
A5173_7124,-27.2,4.4
A5200_8124,-26.2,4.4
Z5001_91223,-24.8,4.6
Z5002_91223,-25.6,3.2
A3874_121223,-26.6,3
A5144_171223,-26.8,4.3
A5145_181223,-26.1,3.4
A2775_221122,-26.2,2.7
A8225_14124,-25.7,2.3
A3883_181223,-26.7,3.1
A5152_7124,-25.9,4.4
A2760_5522,-25.8,4.6
Z5090_19124,-26.2,6.2
A0481_19124,-25.7,5.6
Z5096_19124,-24.6,5.2
A8257_19124,-25.9,5.1
A8261_20124,-21.1,5.7
A8282_22124,-26.1,6.5
Z5009_101223,-25.1,3.3
Z5086_19124,-25.2,6.7
Z5097_19124,-24.2,5.4
A5076_31223,-27.2,6.2
A3148_31223,-26.2,3.4
A3119_161223,-25.6,4.1
A3119_161223_repeat,-25.6,4
A3135_171222,-24.7,1.3
A5147_181223,-25.3,0.4
A5186_7124,-24.4,2.3
Z5128_22124,-27.3,6
A8317_25124,-26.4,8.2
Z5174_26124,-27.1,6.7
A8329_26124,-25.6,9.2
A8335_27124,-26.4,6.9
Z3613_27124,-26.2,6.4
Z5187_27124,-25.8,8.1
Z5191_28124,-26.9,4.1
Z8304_31124,-25.5,6.3
Z8305_31124,-27,5.4
Z8310_31124,-26.8,8.7
Z8310_31124_repeat,-26.8,8.2
Z8317_1224,-24.1,4.6
AB1224_211122,-25.6,4.4
AB1284_131222,-25.6,3.8
A2883_6523,-25,4.5
A8211_14224,-24.5,3
A1576_15124,-26.3,3.2
Z5019_22124,-26.3,6.1
A8283_22124,-26.2,6.4
Z5144_24124,-27.4,6.3
Z5159_24124,-26.7,5.1
A5148_181223,-24.4,1.5
A5185_7124,-23.9,0.9
Z5092_19124,-26,5.1
Z1683_20124,-26.4,5.2
AB1288_141222,-24.7,4.5
AB1289_141222,-25.7,4.3
A8214_14124,-24.7,2
A5185_7124_R,-24.1,1
A2907_231122,-23.9,3.3
A2912_231122,-27,3
Z2747_31222,-26.3,4.3
A3085_131222,-25.1,3.6
A8334_27124,-26.4,5.8
Z0337_17123,-24.9,6.1
Z5094_19124,-24.4,5.3
Z2522_30422,-25,4.4
A2856_23522,-24.5,3.1
A2831_21522,-24.9,5.8
A2849_22522,-25.5,2.8
A2738_2522,-25,5.2
Z2541_1522,-25.4,3.8
Z2704_22522,-25.4,4.5
Z2541_1522_R,-25.5,3.5
A3689_21523,-25.6,3
A3613_4523,-25.1,1.6
Z3522_4523,-23.3,2
Z3591_17523,-25.1,4.3
Z3594_17523,-23.2,4.9
A3657_17523,-24.7,3.1
Z3802_18523,-25,3.9
A3689_21523,-25.5,3.4
A3669_19523,-25.9,2.5
A3671_19523,-24,4.5
A2795_21523,-25.3,2.8
A3700_22523,-24.2,3.5
A2775_23523,-25.4,2.1
Z3821_21523,-24.3,2.6
A3683_21523,-24.7,2.9
A5187_7124,-24.6,1.5
A3210_13123,-25.8,4.7
Z3700_14123,-26.4,7.1
Z3699_14123,-25.4,5.6
Z0277_14123,-27.3,5.7
A8258_20124,-26.1,5.4
Z5129_22124,-26.3,4.8
A3696_22523,-24.5,2.9
Z3545_5523,-25.3,2.8
A3655_17523,-25,4.4
Z3807_19523,-25,2.7
Z3827_21523,-25.5,1.5
A3694_22523,-25.2,2.7
Z2571_5523,-25.6,2.9
A2713_30422,-24.2,4.4
AB1178_4522,-24.4,3.1
A2836_22522,-25.1,3.9
A2829_21522,-25.1,3.7
A2695_28422,-25.9,3.1
A2862_18522,-25.4,2.9
A1631_26422,-25.8,5.1
AB1178_4522_R,-24.5,3.2
Z3626_21523,-24.7,3.8
Z3825_21523,-22.8,2.4
Z3865_23523,-25,2.3
Z2564_4523,-26,1.3
Z3858_23523,-25.4,1.5
Z3853_23523,-23.8,0.8
Z3820_21523,-25,2.1
A3686_21523,-25.2,4.1
Z3831_21523,-25.1,0.6
Z3841_22523,-24.5,2.7
Z3823_21523,-24.9,3.1
Z3842_22523,-24.1,1.5
A3698_22523,-24.9,2.2
Z3843_22523,-24,2.4
Z3842_22523_R,-24.2,1.7
Z2364_22523,-25.4,1.2
A3074_131222,-26.2,1.8
Z3635_131222,-24.9,1.5
Z3636_131222,-24.9,1.8
A3076_131222,-26.3,1.8
A1576_6123,-26.6,2.8
A3157_6123,-26.4,2.9
A1177_17523,-25.4,4.3
A3682_21523,-24,3.4
A5183_7124,-24.8,1.6
Z3566_6523,-25.5,3.6
A3632_6523,-26.2,4.1
Z3595_17523,-24.7,5
Z3554_5523,-24.1,2.7
Z3566_6523,-25.7,3.5
A8351_28124,-26.1,6.3
Z5193_29124,-27,4.5
Z5194_29124,-25.9,5.4
Z5132_22124,-27.3,5
Z5168_25124,-27.5,7.1
Z5115_20124,-24.5,3.1
Z0337_20124,-24.4,5.6
Z2528_17523,-25.5,4.1
A1176_17523,-25.5,4.5
A2719_17523,-25.2,4
Z3593_17523,-25.4,4.6
A2830_18523,-25.5,3.1
A3668_18523,-24.2,3.5
A3688_21523,-23.6,3.1
Z3803_18523,-25.1,4.1
A3673_19523,-25.5,3.4
A3687_21523,-25.6,3.4
A3611_21523,-25,2.4
A3699_22523,-23.6,3.2
Z2562_21523,-24.8,1.2
AB1449_5523,-25.5,5.6
Z3632_131222,-25.1,2
Z3633_131222,-24.8,1.7
A3148_6123,-26.4,3.4
AB1472_231123,-24.8,3.7
Z5028_131223,-26.1,5.9
Z5030_131223,-26.2,5.8
A8284_22124,-26.3,5.7
A2872_131222,-25.9,1.1
A2863_4523,-24.8,3.5
Z3636_5523,-24.9,1.9
A3622_5523,-23.8,4.1
A1453_5523,-25.9,3.7
A1426_27423,-24.6,2.9
Z3641_21523,-24.9,2.2
Z2564_4523,-25.7,1.6
Z3515_2523,-24.7,3.4
A3627_6523,-24.4,4.5
A3660_17523,-24.9,4.7
Z2532_17523,-24.7,5.2
Z3600_18523,-24.6,4.1
Z3543_5523,-24.9,3.6
Z2532_17523_R,-24.7,5
AB1021_9523,-26.1,3.5
A2740_2522,-24.6,4.7
A2741_2522,-24.7,3.2
A3320_27423,-24.2,3.5
Z3530_4523,-24.3,2.4
Z3553_5523,-24.6,1.8
A2618_27423,-24.5,2.9
AB1021_9523_R,-26.1,3.7
A3091_131222,-26.7,2.7
A8213_14124,-25,2.4
A8212_14124,-25.1,2.4
A8227_15124,-25.3,1.7
AB1464_18523,-25.4,5
AB0410_12124,-25.9,3
Z5098_19124,-24.5,1.8
AB1739_10124,-26.1,3.3
Z5109_19124,-24.6,4.8
A3107_151222,-26.4,0.6
A3160_6123,-24.5,0.8
Z3710_16123,-25.3,5.7
A3161_6123,-25.3,2.5
A2863_131222,-26.2,3.1
A3109_151222,-24.8,1
A0481_16123,-26.2,5.1
AB1344_181222,-25.6,4.9
Z2772_16122,-26.9,5.4
Z3745_18123,-25.8,4.5
A5004_12223,-26.3,7.3
A8352_29124,-26.1,6.2
B0625_231123,-25.9,3
B0557_221122,-26.5,2.6
B0580_6123,-25.6,4.4
Z3767_16423,-24,6.3
Z3718_17123,-25.6,4.6
AB1348_9123,-26.6,2.9
B0532_4522,-25.1,3
AB0373_26423,-27.3,4.4
A3315_27423,-25.5,5.3
Z3544_5523,-24.2,4.7
Z1479_12523,-24.8,3.4
A3163_7123,-24.2,0.7
AB0600_27422,-25.6,4.6
A0206_25422,-26.3,4
A2794_5522,-24.1,3.5
Z1683_16123,-25.9,4.6
A3875_161223,-25.8,2.6
A3213_13123,-25.7,6.2
Z3697_14123,-26.2,5.9
A0328_13123,-27.1,6.9
A3207_12123,-26.8,5.9
A3288_131223,-26.2,6.2
A5172_7124,-26.7,3.6
A3052_23124,-27.2,6.3
A3078_181223,-26.7,3.2
A3208_12123,-26.1,6.3
A0338_13422,-25.7,7.3
A0348_8522,-25.8,6.1
A0345_9522,-26,5.6
A0417_18422,-25.5,6.9
A0416_8523,-25.1,6.4
A2522_9523,-24.8,6.1
A2774_5522,-25.5,3.6
Z2598_5522,-25.4,3.3
A2777_5522,-24.5,3.1
A2762_4522,-24.3,3.3
A1177_21522,-25.4,4.3
A2833_22522,-25.1,3.8
A2824_22522,-25.1,3.5
A8239_22522,-24.6,4.6
A2840_22522,-24.3,6.6
Z2852_23522,-25.3,3.9
Z2711_23522,-25.6,1.8
A1724_25422,-25.4,3.2
A2658_19522,-24.8,4
Z2646_18522,-25.3,2.8
