trimmed-A0397	trimmed-A0412	trimmed-A0481	trimmed-A0567	trimmed-A0645	trimmed-A1177-161222	trimmed-A1177-21522	trimmed-A1218	trimmed-A1297	trimmed-A1847	trimmed-A2527	trimmed-A2577	trimmed-A2584	trimmed-A2591	trimmed-A2592	trimmed-A2593	trimmed-A2594-25422	trimmed-A2594-5622	trimmed-A2598	trimmed-A2599	trimmed-A2658	trimmed-A2689	trimmed-A2738	trimmed-A2745	trimmed-A2747	trimmed-A2750	trimmed-A2760	trimmed-A2765	trimmed-A2769	trimmed-A2774	trimmed-A2775-221122	trimmed-A2775-6622	trimmed-A2794	trimmed-A2804	trimmed-A2842	trimmed-A2849	trimmed-A2854	trimmed-A2855	trimmed-A2907	trimmed-A3051	trimmed-A3070	trimmed-A3085	trimmed-A3100	trimmed-A3107	trimmed-A3121	trimmed-A3137	trimmed-A3151	trimmed-A3198	trimmed-A3210	trimmed-AB0478	trimmed-AB0495	trimmed-AB1178	trimmed-AB1179	trimmed-AB1201	trimmed-AB1202	trimmed-AB1224	trimmed-AB1288	trimmed-AB1289	trimmed-AB1290	trimmed-AB1345	trimmed-B0580	trimmed-C0430	trimmed-EX-CTRL	trimmed-INS-CTRL	trimmed-PCR-CTRL	trimmed-PLN-CTRL	trimmed-Z0438	trimmed-Z1683	trimmed-Z2304	trimmed-Z2335	trimmed-Z2388	trimmed-Z2460	trimmed-Z2512	trimmed-Z2532	trimmed-Z2647	trimmed-Z2662	trimmed-Z2702	trimmed-Z2706	trimmed-Z2744-17123	trimmed-Z2744-31222	trimmed-Z2766	trimmed-Z2772	trimmed-Z3601	trimmed-Z3606	trimmed-Z3612	trimmed-Z3613	trimmed-Z3632	trimmed-Z3636	trimmed-Z3683	trimmed-Z3697	trimmed-Z3699	trimmed-Z3704	trimmed-Z3705-14123	trimmed-Z3705-14123-1	trimmed-Z3745
ASV_1	0	0	2133	0	0	137106	37589	3085	95969	0	0	0	22651	0	14264	0	0	0	2438	0	8153	0	0	0	0	0	0	0	0	0	0	0	0	0	154479	0	0	15405	96003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14826	15640	102609	151920	61376	158729	185455	0	0	0	0	0	0	0	0	0	0	0	0	7958	253432	0	0	0	0	904	168041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	69216	0	0	0	0	0	0	0	13507	0	0	5964	0	0	0	0	87218	0	0	0	0	60850	0	0	0	35604	0	0	46818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15671	53535	11029	72863	0	0	0	0	0	0	0	0	0	0	0	0	0	9020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3839	0	0	0	0	0	0	0	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120070	27641	0	5407	0	57335	0	0	0	51051	1309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21960	129464	5325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	6375	115144	2999	0	0	6279	0	15413	0	56486	0	0	55530	0	0	0	1436	0	1813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19540	0	3564	0	24343	6303	0	0	0	0	0	0	0	0	0	0	0	0	0	1473	0	0	0	0	0	779	0	0	5503	980	0	0	81990	0	0	0	0	1129	0	1120	0	0	0	0	0	0	2606
ASV_5	63442	0	0	132910	20911	0	0	0	521	0	0	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	75995	76209	0	0	0	0	0	667	0	0	0
ASV_6	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0	0	0	13339	0	0	0	0	0	0	469	0	0	0	0	0	0	0	910	0	0	4354	0	0	0	58941	87547	124880	0	0	0	0	0	0	0	2501	9290	22223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2516	0	0	0	0	1398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	633	155444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6548	0	0	0	0	0	0	0	0	0	0	0	0	3700	35311	0	3153	72986	0	0	0	0	84389	19512	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	9266	0	5501	0	0	2000	46272	0	0	0	0	4313	45498	17419	0	0	642	86467	0	0	1960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	1397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	0	11366	0	0	0	0	0	0	1091	0	0	0	1724	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	135087	23136	0	0	0	0	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	0	0	0	0	0	0	0	1130	0	0	0	0	4236	0	0	0	0	0	0	0	13908	0	0	0	0	0	0	0	0	0	0	0	0	1582	0	0	0	0	1933	0	0	0	0	0	0	0	6162	0	0	20085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1544	0	0	0	10962	0	6607	0	0	0	3541	0	0	0	49518	20075	0	0	0	0	0	0	8084	14385	0	0	1401
ASV_12	0	0	0	0	0	0	0	0	0	16890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16695	0	0	0	0	0	0	0	0	128043	0	0	0	0
