trimmed-21139_25423	trimmed-A0363_27124	trimmed-A0481_19124	trimmed-A1176_17523	trimmed-A1739_10124	trimmed-A269087_24422	trimmed-A2695_28422	trimmed-A269807_25422	trimmed-A2713_2523	trimmed-A2730_1522	trimmed-A2741_2522	trimmed-A2830_18523	trimmed-A2852_19523	trimmed-A2863_171223	trimmed-A2863_231122	trimmed-A2863_4523	trimmed-A2890_171223	trimmed-A2946_261122	trimmed-A3073_21523	trimmed-A3073_5523	trimmed-A3110_141222	trimmed-A3127_171222	trimmed-A3136_171222	trimmed-A3144_6123	trimmed-A3162_6123	trimmed-A3165_7123	trimmed-A3366_28423	trimmed-A3386_2523	trimmed-A3390_30423	trimmed-A3606_18523	trimmed-A3611_4523	trimmed-A3613_4523	trimmed-A3620_5523	trimmed-A3624_5523	trimmed-A3627_6523	trimmed-A3655_17523	trimmed-A3658_17523	trimmed-A3663_17523	trimmed-A3667_18523	trimmed-A3668_18523	trimmed-A3669_19523	trimmed-A3673_19523	trimmed-A3674_19523	trimmed-A3682_21523	trimmed-A3683_23523	trimmed-A3686_21523	trimmed-A3688_21523	trimmed-A3690_21523	trimmed-A3694_22523	trimmed-A3697_22523	trimmed-A3699_22523	trimmed-A3700_22323	trimmed-A3841_22523	trimmed-A3865_23523	trimmed-A3873_161223	trimmed-A3875_161223	trimmed-A3883_181223	trimmed-A5004_121223	trimmed-A5042_21223	trimmed-A5045_21223	trimmed-A5049_21223	trimmed-A5051_21223	trimmed-A5119_20124	trimmed-A5145_181223	trimmed-A5147_181223	trimmed-A5148_181223	trimmed-A5160_7124	trimmed-A5169_7124	trimmed-A5179_7124	trimmed-A5183_7124	trimmed-A5185_7124	trimmed-A5186_7124	trimmed-A5187_7124	trimmed-A5191_7124	trimmed-A5193_7124	trimmed-A5200_7124	trimmed-A8202_8124	trimmed-A8211_14124	trimmed-A8212_14124	trimmed-A8214_14124	trimmed-A8224_19124	trimmed-A8228_15124	trimmed-A8233_16124	trimmed-A8257_19124	trimmed-A8261_20124	trimmed-A8283_22124	trimmed-A8284_22124	trimmed-A8317_1224	trimmed-A8317_25124	trimmed-A8329_26124	trimmed-AB0373_26422	trimmed-AB0410_12124	trimmed-AB0525_18523	trimmed-AB0600_27422	trimmed-AB1179_16124	trimmed-AB1348_9123	trimmed-AB1426_27423	trimmed-AB1445_5523	trimmed-AB1464_261123	trimmed-AB1465_18523	trimmed-AB1471_161223	trimmed-AB1719_161223	trimmed-AB1722_161223	trimmed-EX_CTRL1	trimmed-EX_CTRL2	trimmed-PCR_CTRL	trimmed-PlN_CTRL	trimmed-Z0337_17123	trimmed-Z1683_20124	trimmed-Z2059_27124	trimmed-Z2538_17523	trimmed-Z2572_4522	trimmed-Z2581_4522	trimmed-Z2583_4522	trimmed-Z2604_5622	trimmed-Z2605_6522	trimmed-Z2612_5622	trimmed-Z3428_26422	trimmed-Z3474_28423	trimmed-Z3476_28423	trimmed-Z3503_30423	trimmed-Z3515_2523	trimmed-Z3530_4523	trimmed-Z3538_4523	trimmed-Z3541_4523	trimmed-Z3543_5523	trimmed-Z3544_5523	trimmed-Z3562_5523	trimmed-Z3570_6523	trimmed-Z3591_17523	trimmed-Z3593_17523	trimmed-Z3594_17523	trimmed-Z3595_17523	trimmed-Z3596_17523	trimmed-Z3598_17523	trimmed-Z3599_17523	trimmed-Z3632_6523	trimmed-Z3719_16123	trimmed-Z3728_17123	trimmed-Z3802_18523	trimmed-Z3803_18523	trimmed-Z3807_19523	trimmed-Z3812_19523	trimmed-Z3815_19523	trimmed-Z3818_21523	trimmed-Z3820_21523	trimmed-Z3821_21523	trimmed-Z3823_21523	trimmed-Z3827_21523	trimmed-Z3837_22523	trimmed-Z4965_301123	trimmed-Z5009_20124	trimmed-Z5015_19124	trimmed-Z5019_22124	trimmed-Z5029_23124	trimmed-Z5030_131223	trimmed-Z5086_19124	trimmed-Z5090_19124	trimmed-Z5093_19124	trimmed-Z5094_19124	trimmed-Z5096_19124	trimmed-Z5097_19124	trimmed-Z5109_19124	trimmed-Z5110_19124	trimmed-Z5116_20124	trimmed-Z5117_20124	trimmed-Z5124_21124	trimmed-Z5132_22124	trimmed-Z5139_23124	trimmed-Z5144_24124	trimmed-Z5150_24124	trimmed-Z5152_1224	trimmed-Z5157_24124	trimmed-Z5159_24124	trimmed-Z5164_25124	trimmed-Z5168_25124	trimmed-Z5174_26124	trimmed-Z5175_26124	trimmed-Z5180_27124	trimmed-Z5187_27124	trimmed-Z5193_29124	trimmed-Z5194_29124	trimmed-Z8304_31124	trimmed-Z8305_31124
ASV_1	0	0	103	10310	1475	29	0	19	0	10	0	61	0	68274	66553	87	70775	64582	30	0	25497	10498	0	44578	0	2259	37	0	46	13454	0	171	380	0	2849	113	34	0	2474	21	3277	9867	3869	726	0	68	157	29	214	0	0	0	0	0	39697	34578	76163	876	338	20466	42562	50284	2294	8448	0	96	0	407	1145	1694	0	0	0	0	690	282	22	0	0	0	933	0	45107	28779	0	0	52	0	0	0	0	32	187	9607	55841	0	0	0	5983	7	20973	34665	54663	0	0	0	619	28423	22	0	4900	0	0	0	107	23	0	0	0	0	498	39273	42	0	0	13076	0	26661	0	16457	0	23537	35720	23945	0	832	863	0	10395	4778	209	789	39122	1232	5095	0	0	154	523	0	282	75110	35217	0	0	0	56	408	78	34385	3825	159	41	760	0	0	205	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	0	0	9207	322	0	0	0	0	1205	0	0	13541	324	76	0	0	0	0	0	0	0	0	0	1094	56473	321	62036	15085	0	10402	0	0	0	0	0	0	68327	11862	12059	18016	22711	2425	6877	72806	59313	0	14457	0	460	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	42659	44323	16977	56814	36524	2155	0	0	0	0	0	268	0	23503	135	24240	348	42915	0	0	0	4056	0	0	0	402	0	0	0	0	0	0	0	1907	0	7049	0	332	1130	0	0	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	0	0	0	0	17	0	0	0	0	0	1614	20947	0	51	239	24262	0	0	2636	0	0	43	0	0	62	0	0	0	0	1338	694	6165	0	0	455	4749	0	0	46693	0	559	766	5554	0	85169	247	1123	0	0	5650	625	0	17624	3883	0	0	165	0	0	316	0	0	0	96	0	0	0	320	0	27	0	0	0	0	0	20	0	74	0	159	265	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	21	0	0	6331	7	0	0	0	0	0	468	0	0	0	479	723	7375	2063	4964	38969	53366	0	83452	0	572	0	38045	77	0	88	4433	8617	0	164	7915	0	6989	1350	5391	0	2159	0	0	91	802	93	125	914	368	65254	0	55816	5343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	41	0	0	0	0	118	3600	18	0	0	0	1462	0	0	0	0	0	0	86	0	0	80	0	1032	106	330	1684	0	0	1102	126	0	0	0	32	0	0	0	0	0	155	1284	38	0	0	256	0	0	8	0	0	0	0	0	0	29571	41	0	37753	1230	0	0	0	3566	0	23	152	4186	69	21	0	0	0	0	0	0	0	0	388	0	17049	0	2970	48722	0	0	11111	4249	0	0	121	0	54	43723	8	0	1750	0	92	2555	0	78	514	7	0	0	26	0	30794	282	299	4853	0	0	1113	84	0	0	31	0	143	99	13	0	16188	0	127	5513	2690	1008	0	32	39	716	0	8604	2628	27	0	0	0	107	22273	0	410	105	10434	0	140	0	34641	10	31889	56473	13	0	0	12	0	0	94	0	0	0	0	0	0	910	81	0	2517	0	28	0	99	127	163	39748	43	0	3496	32	30	0
ASV_5	0	0	0	52	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37904	49977	0	804	367	0	0	0	374	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31011	123607	81300	0	28	0	20	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	67	89	0	246	0	0	0	0	11	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	1136	0	0	493	0	83490	31217	14140	0	0	0	0	0	0	0	0	0	0	0	0	35	0	15377	114	0	70095	129	0	381	219	0	0	0	0	0	2186	26703	3184	199	0	0	0	0	0	0	0	2019	0	2544	0	341	0	0	0	0	3450	185	3433	28	0	0	0	0	113	122	0	0	0	0	0	0	0	0	0	44	0	0	11704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	341	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	0	0	0	0	0	0	0	0	2785	0	563	0	0	0	0	0	3184	0	182	0	0	0	0	0	0	0	0	0	712	13183	764	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	95022	0	0	39	0	0	0	0	0	0	0	37	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	109	0	37	0	0	0	977	0	136	45951	0	40	0	294	0	0	0	0	0	0	0	0	0	0	0	381	0	55	0	0	0	36682	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	78	109	12	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	49496	463	9	0	0	0	0	9	66	0	0	29	0	289	8077	248	129	0	0	0	6515	0	2149	241	31535	949	342	1456	604	2624
ASV_8	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	1373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25418	0	0	0	444	0	0	0	36	0	0	20274	97918	16759	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98053	0	0	0	4278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831	0	0	1069	0	0	466	0	0	0	0	17261	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	4256	0	0	0	2130	24015	0	87685	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	10623	24	0	0	0	0	0	0	0	0	0	0	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	19	0	0	68993	0	0	0	0	5	0	0	0	0	0	0	38	74	68	0	0	0	0	0	0	0	0	0	7457	0	13	0	0	45290	22	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1109	0	0	64	233	1118	10	0	0	0	46	12	0	0	0	0	0	0	0	0	15	0	0	0	11	0	0	8729	0	13	0	0	0	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	0	0
ASV_10	0	0	83	187	317	0	0	0	0	0	0	0	9646	165	0	113	0	0	2654	62	9419	50505	6	0	302	0	0	196	0	1313	728	82	89	14	246	544	132	0	0	0	803	799	0	230	0	1845	0	17	32	57	102	0	133	201	52	69	1608	0	0	0	0	0	0	27	27414	99997	49	82	0	0	0	0	0	0	0	18	0	309	296	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	761	165	0	0	240	11	0	0	0	0	259	56	39	0	6551	0	0	0	17	1268	20	735	117	28	460	39	312	0	0	1499	56	34	0	1378	518	16	0	110	301	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
