ID,DATE
AB1178,04-05-2022
Z2702,22-05-2022
A2842,22-05-2022
A2843,22-05-2022
Z2706,22-05-2022
A2849,22-05-2022
Z1500,23-05-2022
A2854,23-05-2022
A2855,23-05-2022
Z2647,18-05-2022
A2775.221122,22-11-2022
B0558,22-11-2022
A2907,23-11-2022
Z2744.31222,03-12-2022
AB1224,21-11-2022
Z2766,03-12-2022
Z3601,07-12-2022
Z3606,08-12-2022
Z3613,09-12-2022
Z3612,09-12-2022
Z0438,09-12-2022
A3046,09-12-2022
AB0478,22-05-2022
Z3704,14-01-2023
Z2077,14-01-2023
Z3700,14-01-2023
Z3699,14-01-2023
Z3745,18-01-2023
Z3697,14-01-2023
Z2744.17123,17-01-2023
B0580,06-01-2023
Z1683,16-01-2023
A3151.6123,06-01-2023
A0481,16-01-2023
A3065,11-12-2022
Z2772,16-01-2023
A3051,10-12-2022
Z3705.14123,14-01-2023
A2592,25-04-2022
A2690,28-04-2022
Z2349,24-04-2022
Z2460,28-04-2022
A2662,28-04-2022
A2689,28-04-2022
AB0495,28-04-2022
Z2539,01-05-2022
Z2532,30-04-2022
Z1487,30-04-2022
Z2512,30-04-2022
AB1179,04-05-2022
A2745,04-05-2022
A0338,08-05-2022
A2758,04-05-2022
A2760,04-05-2022
B0532,04-05-2022
A2571,04-05-2022
A2738,02-05-2022
A2774,05-05-2022
A2769,04-05-2022
A2765,04-05-2022
Z2584,04-05-2022
A2747,04-05-2022
Z2593,05-05-2022
A2775.6622,05-05-2022
Z2591,05-05-2022
Z2594.5622,05-05-2022
Z2598,05-05-2022
Z2599,05-05-2022
A2794,05-05-2022
A2577,14-05-2022
AB1202,05-05-2022
AB1201,05-05-2022
A2802,05-05-2022
A2824,18-05-2022
A2658,19-05-2022
A1177.21522,21-05-2022
A0412,16-04-2022
A0397,15-04-2022
A2750,04-05-2022
A2804,05-05-2022
A3078,13-12-2022
Z2334,18-04-2022
A2534,16-04-2022
Z2304,13-04-2022
Z3636,13-12-2022
A3070,13-12-2022
Z3632,13-12-2022
A3085,13-12-2022
A1218,14-12-2022
A3100.141222,14-12-2022
AB1288,14-12-2022
AB1289,14-12-2022
AB1290,15-12-2022
A3107,15-12-2022
A3113,15-12-2022
AB1297,15-12-2022
A1177.161222,16-12-2022
A3121,16-12-2022
A3137,17-12-2022
AB1345,18-12-2022
A3198,10-01-2023
A0567,12-01-2023
A3210,13-01-2023
A0645,13-01-2023
Z3683,12-01-2023
Z3690,13-01-2023
C0430,11-01-2023
Z2335,18-04-2022
A2547,17-04-2022
A1847,15-04-2022
A2527,16-04-2022
A3100,14-12-2022
Z3705,14-01-2023
A3151,06-01-2023
A2883,13-12-2022
